run_name,timestamp,event_name,session_id,command,wait_type,duration_ms,cpu_time_ms,logical_reads,blocking_session_id,wait_resource,signal_wait_time_ms,regla,detonante,diagnostico,corroborado,metricas,apoyo,fuente
carga4,2026-09-07 05:07:40.908,sql_batch_completed,77,EXECUTE,MSQL_XP,1680.0,1602.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=42.6 (normal); cpu_sys=21.3 (normal),"['Corroboración de métricas de CPU: cpu_usr=42.6 (normal); cpu_sys=21.3 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
carga4,2026-09-07 05:07:50.330,sql_batch_completed,77,EXECUTE,MSQL_XP,1045.0,1079.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=52.5 (alto); cpu_sys=23.2 (alto),"['Corroboración de métricas de CPU: cpu_usr=52.5 (alto); cpu_sys=23.2 (alto).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
carga4,2026-09-07 05:10:00.835,sql_batch_completed,77,EXECUTE,MSQL_XP,1213.0,1255.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=52.7 (alto); cpu_sys=14.1 (normal),"['Corroboración de métricas de CPU: cpu_usr=52.7 (alto); cpu_sys=14.1 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
carga4,2026-09-07 05:10:13.204,sql_batch_completed,77,EXECUTE,MSQL_XP,1116.0,1127.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=49 (normal); cpu_sys=16.9 (normal),"['Corroboración de métricas de CPU: cpu_usr=49 (normal); cpu_sys=16.9 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
carga4,2026-09-07 05:10:40.457,sql_batch_completed,77,EXECUTE,MSQL_XP,1718.0,1596.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=47.6 (normal); cpu_sys=20.8 (normal),"['Corroboración de métricas de CPU: cpu_usr=47.6 (normal); cpu_sys=20.8 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
carga4,2026-09-07 05:11:37.180,sql_batch_completed,77,EXECUTE,MSQL_XP,1518.0,1560.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=45.8 (normal); cpu_sys=17 (normal),"['Corroboración de métricas de CPU: cpu_usr=45.8 (normal); cpu_sys=17 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
carga4,2026-09-07 05:12:33.369,sql_batch_completed,77,EXECUTE,MSQL_XP,1742.0,1619.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=43.3 (normal); cpu_sys=26.6 (alto),"['Corroboración de métricas de CPU: cpu_usr=43.3 (normal); cpu_sys=26.6 (alto).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
carga4,2026-09-07 05:13:29.181,sql_batch_completed,77,EXECUTE,MSQL_XP,1642.0,1686.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=42 (normal); cpu_sys=28.2 (alto),"['Corroboración de métricas de CPU: cpu_usr=42 (normal); cpu_sys=28.2 (alto).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run2,2026-09-07 04:28:43.848,sql_batch_completed,71,EXECUTE,MSQL_XP,1841.0,1870.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=44.6 (normal); cpu_sys=27.3 (pico),"['Corroboración de métricas de CPU: cpu_usr=44.6 (normal); cpu_sys=27.3 (pico).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run2,2026-09-07 04:29:04.219,sql_batch_completed,71,EXECUTE,MSQL_XP,3527.0,3558.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=45.5 (normal); cpu_sys=23.1 (normal),"['Corroboración de métricas de CPU: cpu_usr=45.5 (normal); cpu_sys=23.1 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run2,2026-09-07 04:29:06.635,sql_batch_completed,82,SELECT,,3946.0,314.0,8.0,,,,R7,Ejecución intensiva sin espera con lecturas lógicas muy superiores al histórico (1).,Plan de ejecución subóptimo o carencia de índices adecuados.,sin_pico,"batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1","['Corroboración de compilaciones: batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1.', 'Analizar el plan de ejecución y estadísticas de la consulta.']",Microsoft Learn: Troubleshoot Slow-Running Queries in SQL Server
run2,2026-09-07 04:29:16.991,sql_batch_completed,71,EXECUTE,MSQL_XP,1176.0,1170.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=45.5 (normal); cpu_sys=23.1 (normal),"['Corroboración de métricas de CPU: cpu_usr=45.5 (normal); cpu_sys=23.1 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run2,2026-09-07 04:29:16.991,sql_batch_completed,82,EXECUTE,,180.0,104.0,40.0,,,,R7,Ejecución intensiva sin espera con lecturas lógicas muy superiores al histórico (0).,Plan de ejecución subóptimo o carencia de índices adecuados.,sin_pico,"batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1","['Corroboración de compilaciones: batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1.', 'Analizar el plan de ejecución y estadísticas de la consulta.']",Microsoft Learn: Troubleshoot Slow-Running Queries in SQL Server
run2,2026-09-07 04:29:19.227,sql_batch_completed,82,EXECUTE,,2282.0,104.0,40.0,,,,R7,Ejecución intensiva sin espera con lecturas lógicas muy superiores al histórico (8).,Plan de ejecución subóptimo o carencia de índices adecuados.,sin_pico,"batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1","['Corroboración de compilaciones: batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1.', 'Analizar el plan de ejecución y estadísticas de la consulta.']",Microsoft Learn: Troubleshoot Slow-Running Queries in SQL Server
run2,2026-09-07 04:29:47.785,sql_batch_completed,82,EXECUTE,,3405.0,52.0,8.0,,,,R7,Ejecución intensiva sin espera con lecturas lógicas muy superiores al histórico (3).,Plan de ejecución subóptimo o carencia de índices adecuados.,sin_pico,"batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1","['Corroboración de compilaciones: batch_requests_per_sec=0, sql_compilations_per_sec=0 -> ratio inf:1.', 'Analizar el plan de ejecución y estadísticas de la consulta.']",Microsoft Learn: Troubleshoot Slow-Running Queries in SQL Server
run2,2026-09-07 04:30:09.807,sql_batch_completed,71,EXECUTE,MSQL_XP,1078.0,1005.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=47.9 (normal); cpu_sys=23.4 (normal),"['Corroboración de métricas de CPU: cpu_usr=47.9 (normal); cpu_sys=23.4 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run2,2026-09-07 04:30:13.276,sql_batch_completed,82,SELECT,,3479.0,3186.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=47.9 (normal); cpu_sys=23.4 (normal),"['Corroboración de métricas de CPU: cpu_usr=47.9 (normal); cpu_sys=23.4 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run3,2026-09-07 04:38:27.994,sql_batch_completed,72,EXECUTE,MSQL_XP,1118.0,1170.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=47 (normal); cpu_sys=16.2 (normal),"['Corroboración de métricas de CPU: cpu_usr=47 (normal); cpu_sys=16.2 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:07:40.908,sql_batch_completed,77,EXECUTE,MSQL_XP,1680.0,1602.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=42.6 (normal); cpu_sys=21.3 (normal),"['Corroboración de métricas de CPU: cpu_usr=42.6 (normal); cpu_sys=21.3 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:07:50.330,sql_batch_completed,77,EXECUTE,MSQL_XP,1045.0,1079.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=52.5 (alto); cpu_sys=23.2 (alto),"['Corroboración de métricas de CPU: cpu_usr=52.5 (alto); cpu_sys=23.2 (alto).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:10:00.835,sql_batch_completed,77,EXECUTE,MSQL_XP,1213.0,1255.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=52.7 (alto); cpu_sys=14.1 (normal),"['Corroboración de métricas de CPU: cpu_usr=52.7 (alto); cpu_sys=14.1 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:10:13.204,sql_batch_completed,77,EXECUTE,MSQL_XP,1116.0,1127.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=49 (normal); cpu_sys=16.9 (normal),"['Corroboración de métricas de CPU: cpu_usr=49 (normal); cpu_sys=16.9 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:10:40.457,sql_batch_completed,77,EXECUTE,MSQL_XP,1718.0,1596.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=47.6 (normal); cpu_sys=20.8 (normal),"['Corroboración de métricas de CPU: cpu_usr=47.6 (normal); cpu_sys=20.8 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:11:37.180,sql_batch_completed,77,EXECUTE,MSQL_XP,1518.0,1560.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,sin_pico,cpu_usr=45.8 (normal); cpu_sys=17 (normal),"['Corroboración de métricas de CPU: cpu_usr=45.8 (normal); cpu_sys=17 (normal).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:12:33.369,sql_batch_completed,77,EXECUTE,MSQL_XP,1742.0,1619.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=43.3 (normal); cpu_sys=26.6 (alto),"['Corroboración de métricas de CPU: cpu_usr=43.3 (normal); cpu_sys=26.6 (alto).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
run4,2026-09-07 05:13:29.181,sql_batch_completed,77,EXECUTE,MSQL_XP,1642.0,1686.0,0.0,,,,R3,Espera de planificador (SOS_SCHEDULER_YIELD) o consumo intensivo de CPU (cpu_time ≈ duration).,Presión real de CPU en el motor por consultas ineficientes o carencia de índices.,confirmado,cpu_usr=42 (normal); cpu_sys=28.2 (alto),"['Corroboración de métricas de CPU: cpu_usr=42 (normal); cpu_sys=28.2 (alto).', 'Revisar signal_wait_time_ms vs resource_wait_time_ms para confirmar saturación de CPU.', 'Buscar planes de ejecución costosos o índices faltantes.']",Microsoft Learn: Troubleshoot High CPU Usage Issues in SQL Server
