fase,contamination,n_estimators,max_samples,max_features,prep,n_feats,subset,promocionable,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,0.005,100,64,0.5,standard,17,17,directo,q01,108,17,1.0,0.0739,0.864,0.927,0.9497,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.005,100,64,0.7,standard,17,17,directo,q10,108,123,1.0,0.5348,0.4675,0.6372,0.6361,108,84,1.0,0.3652,0.5625,0.72,0.7515
fase1,0.005,100,64,0.7,standard,17,17,directo,q05,108,89,1.0,0.387,0.5482,0.7082,0.7367,108,44,1.0,0.1913,0.7105,0.8308,0.8698
fase1,0.005,100,64,0.7,standard,17,17,directo,q01,108,35,1.0,0.1522,0.7552,0.8606,0.8964,108,7,1.0,0.0304,0.9391,0.9686,0.9793
fase1,0.005,100,64,1.0,standard,17,17,directo,q10,108,134,1.0,0.5826,0.4463,0.6171,0.6036,108,85,1.0,0.3696,0.5596,0.7176,0.7485
fase1,0.005,100,64,1.0,standard,17,17,directo,q05,108,108,1.0,0.4696,0.5,0.6667,0.6805,108,48,1.0,0.2087,0.6923,0.8182,0.858
fase1,0.005,100,64,1.0,standard,17,17,directo,q01,108,25,1.0,0.1087,0.812,0.8963,0.926,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.005,100,128,0.5,standard,17,17,directo,q10,108,128,1.0,0.5565,0.4576,0.6279,0.6213,108,89,1.0,0.387,0.5482,0.7082,0.7367
fase1,0.005,100,128,0.5,standard,17,17,directo,q05,108,112,1.0,0.487,0.4909,0.6585,0.6686,108,57,1.0,0.2478,0.6545,0.7912,0.8314
fase1,0.005,100,128,0.5,standard,17,17,directo,q01,108,26,1.0,0.113,0.806,0.8926,0.9231,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.005,100,128,0.7,standard,17,17,directo,q10,108,136,1.0,0.5913,0.4426,0.6136,0.5976,108,91,1.0,0.3957,0.5427,0.7036,0.7308
fase1,0.005,100,128,0.7,standard,17,17,directo,q05,108,101,1.0,0.4391,0.5167,0.6814,0.7012,108,77,1.0,0.3348,0.5838,0.7372,0.7722
fase1,0.005,100,128,0.7,standard,17,17,directo,q01,108,57,1.0,0.2478,0.6545,0.7912,0.8314,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,0.005,100,128,1.0,standard,17,17,directo,q10,108,137,1.0,0.5957,0.4408,0.6119,0.5947,108,96,1.0,0.4174,0.5294,0.6923,0.716
fase1,0.005,100,128,1.0,standard,17,17,directo,q05,108,114,1.0,0.4957,0.4865,0.6545,0.6627,108,82,1.0,0.3565,0.5684,0.7248,0.7574
fase1,0.005,100,128,1.0,standard,17,17,directo,q01,108,52,1.0,0.2261,0.675,0.806,0.8462,107,7,0.9907,0.0304,0.9386,0.964,0.9763
fase1,0.005,100,auto,0.5,standard,17,17,directo,q10,108,126,1.0,0.5478,0.4615,0.6316,0.6272,108,90,1.0,0.3913,0.5455,0.7059,0.7337
fase1,0.005,100,auto,0.5,standard,17,17,directo,q05,108,113,1.0,0.4913,0.4887,0.6565,0.6657,108,78,1.0,0.3391,0.5806,0.7347,0.7692
fase1,0.005,100,auto,0.5,standard,17,17,directo,q01,108,64,1.0,0.2783,0.6279,0.7714,0.8107,108,5,1.0,0.0217,0.9558,0.9774,0.9852
fase1,0.005,100,auto,0.7,standard,17,17,directo,q10,108,147,1.0,0.6391,0.4235,0.595,0.5651,108,93,1.0,0.4043,0.5373,0.699,0.7249
fase1,0.005,100,auto,0.7,standard,17,17,directo,q05,108,108,1.0,0.4696,0.5,0.6667,0.6805,108,81,1.0,0.3522,0.5714,0.7273,0.7604
fase1,0.005,100,auto,0.7,standard,17,17,directo,q01,108,27,1.0,0.1174,0.8,0.8889,0.9201,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,0.005,100,auto,1.0,standard,17,17,directo,q10,108,142,1.0,0.6174,0.432,0.6034,0.5799,108,103,1.0,0.4478,0.5118,0.6771,0.6953
fase1,0.005,100,auto,1.0,standard,17,17,directo,q05,108,121,1.0,0.5261,0.4716,0.6409,0.642,108,81,1.0,0.3522,0.5714,0.7273,0.7604
